Fecha de Creación,País,Estado,Ciudad
2026-01-30,México,Nayarit,Tepic
2026-01-30,México,Veracruz de Ignacio de la Llave,Boca Del Rio
2026-01-30,México,Veracruz de Ignacio de la Llave,Amatlan De Los Reyes
2026-01-30,México,Hidalgo,Tula De Allende
2026-01-23,México,Tamaulipas,Tampico
2026-01-23,México,Hidalgo,Pachuca De Soto
2026-01-28,México,Ciudad de México,Venustiano Carranza
2026-01-23,México,Ciudad de México,Benito Juarez
2026-01-26,México,Ciudad de México,Xochimilco
2026-01-19,México,Guerrero,Acapulco De Juarez
2026-01-26,México,Guanajuato,Celaya
2026-01-26,México,Tamaulipas,Altamira
2026-03-09,México,Baja California,Tijuana
2026-03-09,Estados Unidos,Minnesota,Oakdale
2026-03-09,Estados Unidos,Texas,Houston
2026-02-04,Estados Unidos,California,South San Francisco
2026-02-17,Estados Unidos,Texas,Spring
2026-02-20,Estados Unidos,Nebraska,Bloomfield
2026-02-27,Estados Unidos,California,San Jose
2026-02-25,México,Baja California,Tijuana
2026-02-25,México,Michoacán de Ocampo,Hidalgo
2026-02-25,México,Estado de México,Villa Guerrero
2026-02-25,México,Michoacán de Ocampo,Marcos Castellanos
2026-02-09,México,Baja California,Tijuana
2026-02-18,México,Puebla,Puebla
2026-02-28,México,Coahuila De Zaragoza,Muzquiz
2026-02-16,México,Guanajuato,Leon
2026-02-16,México,Tlaxcala,Calpulalpan
2026-02-09,México,Sinaloa,Mazatlan
2026-02-09,México,Baja California,Ensenada
2026-02-17,México,Jalisco,Tecalitlan
2026-03-09,México,Michoacán de Ocampo,Hidalgo
2026-03-02,México,Estado de México,Atenco
2026-03-05,México,Sonora,Nogales
2026-02-04,México,Baja California,Tijuana
2026-02-04,México,Baja California,Tijuana
2026-02-04,México,Baja California,Tijuana
2026-02-04,México,Guanajuato,Irapuato
2026-02-05,México,Jalisco,Zapopan
2026-02-05,México,Morelos,Cuernavaca
2026-02-05,México,Chiapas,Tuxtla Gutierrez
2026-02-05,México,Estado de México,Tlalnepantla De Baz
2026-03-05,México,Chihuahua,Chihuahua
2026-02-04,México,Guanajuato,Leon
2026-02-17,México,Guerrero,Chilpancingo De Los Bravo
2026-02-17,México,Hidalgo,Tulancingo De Bravo
2026-02-17,México,Nayarit,Tepic
2026-02-13,México,Jalisco,Zapopan
2026-02-13,México,Veracruz de Ignacio de la Llave,Cordoba
2026-02-13,México,Estado de México,Nezahualcoyotl
2026-02-16,México,Coahuila De Zaragoza,Monclova
2026-02-16,México,San Luis Potosí,Soledad De Graciano Sanchez
2026-02-16,México,Ciudad de México,Iztapalapa
2026-02-16,México,Chihuahua,Chihuahua
2026-02-16,México,Tamaulipas,El Mante
2026-02-17,México,Coahuila De Zaragoza,Saltillo
2026-02-19,México,Ciudad de México,Miguel Hidalgo
2026-02-09,México,Chihuahua,Cuauhtemoc
2026-02-26,México,Jalisco,Zapopan
2026-02-26,México,Chiapas,Tuxtla Gutierrez
2026-02-27,México,Estado de México,Atizapan De Zaragoza
2026-02-27,México,Jalisco,Tlaquepaque
2026-02-27,México,Nuevo León,Monterrey
2026-02-25,México,Estado de México,Tlalnepantla De Baz
2026-02-28,México,Jalisco,Zapopan
2026-02-25,México,Puebla,Puebla
2026-02-25,México,Nuevo León,Guadalupe
2026-03-09,México,Guanajuato,Acambaro
2026-03-11,México,Puebla,Puebla
2026-03-11,México,Nuevo León,San Pedro Garza Garcia
2026-03-12,México,Sonora,Guaymas
